recursion limits,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118,120,122,124,126,128,130,132,134,136,138,140,142,144,146,148,150,152,154,156,158,160,162,164,166,168,170,172,174,176,178,180,182,184,186,188,190,192,194,196,198,200,202,204,206,208,210,212,214,216,218,220,222,224,226,228,230,232,234,236,238,240,242,244,246,248,250,252,254,256,258,260,262,264,266,268,270,272,274,276,278,280,282,284,286,288,290,292,294,296,298,
array of size 20000,0.0204931,0.0240983,0.0111786,0.0196743,0.0086795,0.0071291,0.0086405,0.0108076,0.0069624,0.0131264,0.0118618,0.0086299,0.0155867,0.0108978,0.0038208,0.0118325,0.0177301,0.0146335,0.01605,0.014607,0.0150927,0.0113258,0.0136563,0.0144357,0.0279671,0.0406074,0.0154436,0.0142929,0.0151591,0.0125006,0.014703,0.0116311,0.0203087,0.0135962,0.0114058,0.0130164,0.0144169,0.0186862,0.0139221,0.0152217,0.0176031,0.0171772,0.0154452,0.0035667,0.0043157,0.0036514,0.0028049,0.0031717,0.0031322,0.0038072,0.0037315,0.0037324,0.0047764,0.0033216,0.0037782,0.0029059,0.0024991,0.0056607,0.0034118,0.0027896,0.0038003,0.00631,0.003908,0.0038777,0.0053692,0.0047086,0.0043482,0.0054671,0.0049881,0.0043173,0.0042136,0.0067317,0.007064,0.0049089,0.0040589,0.0027418,0.0027158,0.0039489,0.0034161,0.0027483,0.002748,0.002769,0.0041541,0.0039925,0.0045057,0.0044988,0.0059126,0.0029371,0.0028343,0.0028393,0.0032255,0.0039983,0.0046988,0.0047657,0.0058602,0.0065683,0.0075606,0.0055026,0.0072124,0.0048832,0.0032728,0.0030666,0.0037854,0.0069014,0.0032004,0.0032859,0.0032306,0.0047154,0.0036265,0.0032321,0.0032392,0.0032688,0.0051712,0.0032849,0.0032545,0.0032581,0.0058363,0.0037622,0.0049148,0.0054406,0.0048148,0.0068264,0.005868,0.0037301,0.0032577,0.0048709,0.0049125,0.0042405,0.0051546,0.0063438,0.0036261,0.0057051,0.0085853,0.005714,0.0066702,0.0071063,0.0061692,0.0074944,0.004203,0.0035327,0.0091215,0.0035276,0.0035679,0.0061529,0.0060958,0.0072612,0.0047039,0.0056659,0.0041495,
array of size 519000,0.194415,0.1701135,0.1554178,0.1598977,0.1168776,0.1108621,0.1224979,0.1100592,0.1133593,0.1089659,0.119441,0.109718,0.107828,0.1068111,0.112595,0.1089091,0.1092813,0.1093718,0.1415117,0.1103224,0.1080408,0.1228218,0.109444,0.1094291,0.1076679,0.1105324,0.1105874,0.1243806,0.1120333,0.1112354,0.1172272,0.1289837,0.1300614,0.1134617,0.116718,0.1135381,0.1128115,0.1129482,0.1161613,0.1142646,0.1150962,0.120124,0.1128917,0.1131976,0.1171825,0.115185,0.1226569,0.1278093,0.1203766,0.1166174,0.1173682,0.1222567,0.1199994,0.1179739,0.1185667,0.1194313,0.1203514,0.1187951,0.1208349,0.1196359,0.1224594,0.1197405,0.1279942,0.1201815,0.1225901,0.12133,0.1221737,0.1243156,0.1242534,0.1224613,0.1257158,0.1264582,0.1268347,0.1304032,0.1246623,0.1270155,0.1259656,0.1250072,0.1264591,0.1312734,0.1303466,0.1281908,0.1283899,0.1295791,0.1345074,0.1296606,0.1352106,0.1321895,0.1305767,0.1328616,0.1324056,0.1330319,0.1336084,0.1331412,0.1362818,0.1331811,0.1320311,0.135797,0.1342775,0.139923,0.1461862,0.1395331,0.1392527,0.1354608,0.1354884,0.1392778,0.1388308,0.1390702,0.1400457,0.1404497,0.1521355,0.1415981,0.1392314,0.1413692,0.1390905,0.1408725,0.1437354,0.1452174,0.1402989,0.1438685,0.1455537,0.1546577,0.144979,0.1446712,0.1471252,0.1460525,0.1465359,0.1450318,0.1492367,0.1505168,0.1494576,0.1495891,0.1488858,0.1516546,0.1643982,0.1523231,0.1504327,0.1508452,0.15195,0.1501425,0.1505448,0.1525696,0.1560662,0.1544634,0.1537454,0.1572866,0.1569141,0.1545798,0.1598709,
array of size 1018000,0.2613881,0.2595161,0.2624803,0.255434,0.2518305,0.2508596,0.2517118,0.2595305,0.2487773,0.2463167,0.2583528,0.2505046,0.2471472,0.245544,0.2493246,0.2465235,0.2469906,0.246747,0.2500527,0.261479,0.2550309,0.2527653,0.2600044,0.2478155,0.2495862,0.2500197,0.2513357,0.2495874,0.2511176,0.2580566,0.2598843,0.2562458,0.253001,0.2567636,0.2559302,0.259454,0.2541437,0.2569266,0.258837,0.2558411,0.2601067,0.2699037,0.3133061,0.2708953,0.2719735,0.2663406,0.2617458,0.2756881,0.2633263,0.2639611,0.2722635,0.2673718,0.2682309,0.2665778,0.2678632,0.2686442,0.3764484,0.3101684,0.365914,0.349109,0.3112369,0.3340328,0.3321352,0.3156781,0.3038353,0.3032695,0.3114821,0.3034533,0.2965902,0.3057788,0.301598,0.3069037,0.3113122,0.3112122,0.3296492,0.3423091,0.3183543,0.3419507,0.3315353,0.3259165,0.3116084,0.3119157,0.3097824,0.3117054,0.3077158,0.3161159,0.3119902,0.3241036,0.3170315,0.3327214,0.3127459,0.32003,0.3154586,0.3271301,0.3348916,0.3308928,0.3170004,0.3183934,0.3196431,0.3187245,0.3198629,0.3278014,0.3189537,0.3290211,0.3361493,0.3292268,0.3302235,0.3454226,0.3312372,0.3492238,0.3457849,0.3312088,0.3363876,0.3316005,0.3538427,0.3359272,0.3343529,0.3442496,0.3637328,0.356209,0.3435,0.3401099,0.3541456,0.3594243,0.3452602,0.3383252,0.3489239,0.3471058,0.3363339,0.357567,0.3439824,0.3528125,0.3534641,0.3569713,0.3628888,0.3630394,0.3658326,0.3662259,0.3681302,0.3688717,0.3940539,0.3935183,0.3711296,0.3698089,0.3675416,0.3598102,0.3754434,0.3622344,0.3667762,
array of size 1517000,0.4554076,0.4756002,0.4432772,0.4434094,0.4431637,0.426833,0.4550137,0.4411865,0.4393398,0.4518184,0.4443142,0.439556,0.4408029,0.4323479,0.4322255,0.4261667,0.4286185,0.4537529,0.4296436,0.4292654,0.4330963,0.4507674,0.4300865,0.4403451,0.4656585,0.4398231,0.4386049,0.4414128,0.4565987,0.4334241,0.4409707,0.4525302,0.4480168,0.4339805,0.4578446,0.4405691,0.4370419,0.4624995,0.4543536,0.5072506,0.4668392,0.472592,0.4653511,0.450983,0.4513625,0.4525986,0.446638,0.4533934,0.4564124,0.4676959,0.5197662,0.4675465,0.4759718,0.508005,0.4859244,0.4469777,0.4481025,0.4475534,0.453651,0.4471771,0.4603434,0.4475977,0.4442155,0.4558796,0.4489864,0.4627408,0.4652568,0.4601916,0.4629676,0.4640143,0.4624649,0.5773118,0.4510324,0.5579644,0.4976659,0.4698753,0.5061558,0.4793987,0.4720214,0.4780875,0.5150589,0.52545,0.4859952,0.5195848,0.5233407,0.5334437,0.5131439,0.5725306,0.8150479,0.4914475,0.4743605,0.4615757,0.4690945,0.4602411,0.4543137,0.4593613,0.4635759,0.4571492,0.465949,0.4710097,0.4688448,0.4455305,0.4445402,0.4735162,0.4314373,0.4307077,0.4323151,0.4353984,0.4640395,0.4540583,0.4505715,0.4677734,0.4399601,0.4475999,0.4535561,0.4425103,0.4434387,0.4620377,0.5344973,0.6070268,0.5135956,0.5189757,1.0845242,0.6513825,0.5454521,0.5216019,0.5321133,0.4982518,0.5033975,0.5006187,0.5411806,0.4837074,1.0581279,0.8049036,0.7151045,1.071411,1.1728273,0.6170445,0.7046033,0.7974929,1.1422853,0.805073,0.5220139,0.5213093,0.5007489,0.6000852,0.597478,0.6241376,0.6186783,
array of size 2016000,0.7167307,0.6822297,0.5474841,0.5750702,0.5331209,0.5238937,0.543675,0.6633252,0.6786998,0.6139145,0.6317461,0.599826,0.6196036,0.5586477,0.5541949,0.5427525,0.5429227,0.5231906,0.518904,0.528734,0.8760586,0.8457964,0.9815147,1.4531998,1.1727741,0.9520217,0.9765401,1.2205432,1.1908223,1.1723533,1.0370302,1.0207427,1.1661062,0.7458154,0.6707282,1.5447881,1.1210906,0.8660603,0.609062,0.6531029,0.9903177,1.3043189,1.1522613,0.9882824,0.9726295,0.9631618,0.7475648,0.5704878,0.5394419,0.5534604,0.5553063,0.5439046,0.5492887,0.6394274,0.6238523,0.5615767,0.5488633,0.5521367,0.6589196,0.6690402,0.6292527,0.6887323,0.7611587,0.7146357,0.6291784,0.5704619,0.5889694,0.5712315,0.6360729,0.7108772,0.6218801,0.7355006,0.6912954,0.8302566,0.7430918,0.7548951,0.7578915,0.6979255,0.6849103,0.6767224,0.6991583,0.8690255,0.6864231,0.6825893,0.7696537,0.7136979,0.7209187,0.6859714,0.6817753,0.5998092,0.6699415,0.7110338,0.6703038,0.9728489,0.9383258,1.1353335,1.0653892,0.8681936,0.6844395,0.7082005,1.2543821,0.7343169,0.626,0.6388886,0.7756519,0.7959137,0.7882093,0.953779,1.2026302,0.8183693,0.7670971,1.2244054,0.9910218,1.0888405,0.9778798,1.0897101,0.776082,1.4292794,0.7519541,0.8019472,0.7900696,0.7458653,0.7876649,0.8231066,0.735992,0.6992756,0.8231692,0.8081741,0.9239885,0.7989865,0.7939297,0.7545651,0.9330333,0.9452674,0.9297818,0.9330639,0.8017267,0.9072636,0.8348828,0.8243623,0.8001454,0.7829584,0.8193986,0.8123792,0.801448,0.8077131,0.825208,0.8292191,0.8388843,
array of size 2515000,0.8832974,0.8915413,0.8460204,0.8432416,1.0371805,0.8526426,0.9537246,0.9089995,0.8084439,0.8618358,0.8600247,0.8274543,0.7800636,0.8077406,0.8222237,0.7835714,0.8039213,0.818923,0.7944218,0.7874059,0.7977739,0.800642,0.8218819,0.7754941,0.7834512,0.7925153,0.8198938,0.8397266,0.8749112,0.8238739,0.79583,0.8355023,0.8511086,0.8145289,0.9465326,0.8523922,0.8253777,0.8030111,0.7836921,0.7852668,0.7996941,0.864233,0.8473321,0.8117163,0.8173396,0.8655645,0.9486345,0.8552575,0.7775673,0.9134859,0.7458365,0.7154777,0.7149088,0.7169138,0.8823233,0.8890766,0.8619416,0.7877062,0.7902377,0.8250503,0.7203462,0.80425,0.7744024,0.7961103,0.7221255,0.7062101,0.7087882,0.7253181,0.7114488,0.7213796,0.7623079,0.7680815,0.7425427,0.7232467,0.7269524,0.7608759,0.7254621,0.7367071,0.7255057,0.7283867,0.7313831,0.7425462,0.7345027,0.7557091,0.7493666,0.739503,0.7465396,0.752301,0.7569286,0.7495771,0.7972161,0.7951768,0.7849976,0.8185717,0.770151,0.7899493,0.7735624,0.7718926,0.8104507,0.7883665,0.8295924,0.7793123,0.7757512,0.781377,0.7868402,0.7807629,0.7817245,0.7787814,0.7841981,0.7838616,0.7858059,0.7876161,0.7871896,0.7886755,0.7917202,0.7985263,0.7939676,0.8014019,0.8029771,0.8097445,0.8024157,0.8122874,0.8075573,0.8065321,0.8150827,0.9510357,1.0282056,0.8934912,0.8833976,0.8780902,1.033757,0.8612967,0.874031,0.8619804,1.0005388,0.8918052,0.9033789,0.8976179,0.8981815,0.8957369,0.8961719,0.9875447,1.0416182,0.8972111,0.8862512,0.8907303,1.1005072,0.9747196,0.9186681,
array of size 3014000,0.8614717,0.8738222,0.870604,0.8526162,0.9773337,0.9477406,0.8656041,0.8379035,0.8434337,0.8447158,0.843611,0.8289544,0.8312123,0.8407714,0.9584992,0.971996,0.8547945,0.8416605,0.8252318,0.8408599,0.8427438,0.845557,0.8445259,0.9061418,0.8547639,0.8483524,0.8623586,0.8606501,0.85693,0.8499149,0.8500419,0.8635087,0.885737,0.8653964,0.8636803,0.8668638,0.8628762,0.8697248,0.8805731,0.8734589,0.8832283,0.8723137,0.8769452,0.8779143,0.8833146,0.8938366,0.8949471,0.8728657,0.9629942,0.907434,0.9205433,0.9124445,0.8927379,0.8911984,1.0327142,1.1202681,0.9498063,0.8641094,0.8629342,0.8737811,0.8703332,0.8746796,0.9741012,0.9432071,0.9909622,1.0078499,1.3377053,0.9532513,0.9103473,0.9007034,0.8921747,0.8861261,0.9039709,0.9023666,1.0879288,0.9482411,1.0000141,1.1617718,1.3976139,0.9800333,1.0013567,0.9846777,0.9959995,0.9985745,0.9757346,0.9983451,0.9438991,0.9651688,0.9961748,1.1631236,1.0438938,1.0958162,1.0322964,1.0031308,0.983471,1.0035811,1.0035114,1.011749,1.0489944,1.0771438,1.0396277,1.5522429,1.7366309,1.0444743,1.1928777,1.2216313,1.1532995,1.1933942,1.0386142,1.1133693,1.1486506,1.0434104,1.0093355,1.1319856,1.0380899,0.9915167,1.0673467,1.0228393,1.0673849,1.0193468,1.0007836,1.8341393,1.3017293,1.1624654,1.6501501,1.5353783,1.7812092,1.4856804,1.5133235,1.1257276,1.0941868,1.6081486,1.2298991,1.2982938,1.0391882,1.0848121,1.1278866,1.2572418,1.1977602,1.1455001,1.6614343,1.3531743,1.3288339,1.1293212,1.7256628,1.3311468,1.2644082,1.0944915,1.2332405,
array of size 3513000,1.2317781,1.1179687,1.0407317,1.2326201,1.0545259,1.0663832,1.0388974,0.9920128,0.9876807,1.0753655,1.5243309,1.0637982,2.1366675,1.9357161,1.5728746,1.4155521,1.0513684,1.1073286,1.006443,1.0210245,0.9844067,0.972716,0.9855026,0.9874099,0.9798238,0.9883815,1.0239028,0.9980543,0.9823,1.006316,1.0033519,0.9869712,0.9919803,1.4707593,3.6024172,1.1250158,1.0788808,1.2629979,1.961073,1.7135027,1.9282801,1.7051205,1.3252621,1.4121123,1.0403595,1.3602331,2.2404866,1.5923468,1.4096581,1.3376392,1.0430512,1.0690219,1.0354028,1.6044744,1.4057374,1.5092082,1.5216744,1.262146,1.1561974,1.224548,1.1388406,1.2749615,1.1541555,1.0984085,1.0756232,1.553567,1.3083631,1.216845,1.2505459,1.4940084,1.3323383,1.1885615,1.4816022,2.1775382,1.9013489,1.1229634,1.0873006,1.0965398,1.0994271,1.1276105,1.0918725,1.2897458,1.3165938,1.1803005,1.3155624,1.1644824,1.1060336,1.3059434,1.1513664,1.1592711,1.1156768,1.1314017,1.1211279,1.1340955,1.1237389,1.3242822,1.2071517,2.0960369,1.7960582,1.4939774,1.3655502,1.3124913,1.2196888,1.2916654,1.2848189,1.2917205,1.3020304,1.2482606,1.3285856,1.2146808,1.2907614,1.2482337,1.2485382,1.253283,1.4524089,1.3645834,1.4316623,1.9304974,1.4523345,1.6091876,1.4123449,1.7464931,1.3976772,1.4918635,1.5445822,1.3037656,1.5110233,1.3653555,1.5093947,1.4933105,1.4571074,1.4012985,1.7315538,1.5639248,1.5090519,1.5249838,1.4980527,1.5295131,1.315845,1.5553177,1.4659792,1.9989554,1.6809153,1.5322278,1.5143013,1.6092904,1.5603665,1.6378311,1.7839271,
array of size 4012000,1.4233562,1.3150957,1.169644,1.3779022,1.3839862,1.2860957,1.2285359,1.2036664,1.1244064,1.144823,1.1172781,1.5617504,1.3099102,1.1601073,1.2159669,1.2214199,1.1941056,1.2413344,1.2345542,2.1383886,2.1374248,1.2693122,1.1299443,1.2314067,1.1567385,1.357131,1.1873737,1.2953698,1.296305,1.1800568,1.1861595,1.1806433,1.2045651,1.283406,1.2998462,1.1831256,1.165558,1.1621725,1.1844712,1.158745,1.1612494,1.1641877,1.1776376,1.1766753,1.1636394,1.1740437,1.3339233,1.3986623,1.2463066,1.3037299,1.3710187,1.2346263,1.2580082,1.2426989,1.3011507,1.2997767,1.2644457,1.3647941,1.4527745,1.3322837,1.2296753,1.2203113,1.3051024,1.2866494,1.3397977,1.3502252,1.3503188,1.2743942,1.2682293,1.3130043,1.2712987,1.373535,1.2398508,1.3884118,1.4132404,1.4575244,1.3307175,1.4242981,1.4061982,1.5166856,1.368125,1.5148488,1.2646968,1.283982,1.2813763,1.413952,1.4573248,1.3338488,1.352088,1.2781655,1.3737778,1.3930294,1.4017204,1.4739539,1.3249124,1.3185853,1.3169322,1.3067419,1.3657139,1.3436656,1.3981666,1.5280353,1.6100766,1.6184967,1.5668222,1.3603231,1.3592326,1.3449405,1.3420854,1.4568329,1.5912082,1.53525,1.6228809,1.4507014,1.4336635,1.5644063,1.6691951,2.3245525,2.29438,1.417687,1.4079124,1.389708,1.4473253,1.4832363,1.4260548,1.4091706,1.5342123,2.0619275,1.9676406,1.7435099,1.9291884,1.6085634,1.5676569,1.6359872,1.4874516,1.7605941,1.6252677,1.5095043,1.5835852,1.559155,1.4483441,1.4657535,1.4868918,1.6179355,1.6099349,1.6015699,1.5458624,1.745251,2.2202582,
